G69212	16.436562	0.0	15.942788	12.837683	12.739898	6.1764154	6.1458526	2.2241216	9.991547	7.4710236	2.1179795	0.37413952	7.828203	14.720474	11.7017565	0.0	13.084376	1.0456017	5.3862147	13.80691	7.0531936	9.469407	16.685291	6.184531	10.3568325	5.9887166	18.381172	14.074745	0.46796617	10.821766	17.363737	6.29672	11.177909	5.1651645	10.121167	0.8271225	1.1546407	8.264535	5.327374	3.8868592	False
G69211	12.962304	0.0	15.724364	11.389265	9.43825	7.4285107	1.4405179	0.9239571	7.6558337	9.042631	0.29351285	3.0171173	7.0879126	11.859072	9.149822	0.0	12.485067	0.48153585	3.3872764	11.16799	5.6850557	9.003055	11.397331	9.161318	9.162129	5.861959	14.611702	10.034637	3.446143	9.217513	14.168467	9.1536875	11.573541	3.344327	8.377252	0.0	0.0	3.703528	5.997655	4.9530573	False
G80421	8.898786	0.0	24.186865	9.842274	7.0735536	7.5024962	0.0	3.3344774	4.7976594	4.2537704	6.545853	7.499008	5.934847	3.1719751	12.517612	4.328182	10.677296	0.0	5.0282054	10.963034	7.9226675	8.753653	8.733408	13.501846	8.191146	11.379443	10.629972	8.8708725	8.805858	9.273197	4.145846	8.921745	7.1520777	6.6651716	8.390318	0.0	0.0	2.6165743	3.9879262	7.635439	False
G80364	0.2110471	0.0	19.846918	7.3269615	5.325793	8.094226	0.7561653	2.61224	0.44326514	10.018217	9.118283	17.711575	0.0	4.5083075	6.285736	6.216093	1.8511164	0.0	7.655581	2.8328447	5.887783	21.74375	1.3427914	17.74025	6.053678	5.4299016	1.8067417	0.54931843	20.733324	5.4492574	0.77810764	15.823578	18.270302	2.0447633	4.7428274	0.0	6.347251	3.1680787	11.347954	19.26927	False
G69203	0.28578523	0.0	23.51862	10.239508	11.963636	6.280703	0.0	9.010185	6.263785	1.8344992	27.286467	12.510264	0.0	8.07584	7.9627385	23.743874	8.437326	0.0	7.7567663	14.015332	10.812724	28.491571	6.7896113	24.944828	11.58539	23.540684	3.361336	8.067755	11.413819	8.944895	0.0	5.05047	5.709994	14.227348	3.308793	0.0	0.0	11.35417	6.9538336	10.872992	False
G78595	7.7366824	0.89893055	0.362302	10.535997	3.7557104	6.8625436	1.1595938	11.220492	15.642839	3.7515244	4.870951	8.610304	4.3373337	5.5951347	1.2881478	5.2794228	4.198859	0.0	1.2825673	7.35904	2.2383497	4.9218636	6.2742167	0.73909235	3.417079	0.0	4.6724997	0.99489725	17.082697	13.848409	8.930371	2.5153794	3.6491108	13.206216	5.9449058	0.0	2.9563675	0.8375377	1.8878857	5.671979	False
G78514	0.0	9.488509	10.392798	15.50358	3.128969	15.113034	0.05854896	6.928594	12.592028	0.0	0.0	2.8804247	14.172342	10.411826	8.903333	9.415557	17.159554	0.0	9.552076	25.544193	23.96222	12.257553	22.593212	0.0	10.8086605	13.76109	7.0539246	2.5788205	32.96133	4.7473674	0.0	0.0	15.558254	2.6239202	0.0	9.323424	13.8308935	10.757427	8.83939	3.0446727	False
G78508	17.338139	4.110821	7.832852	14.270649	17.613909	11.872069	8.937272	3.0880644	12.940541	2.263481	0.25233033	2.9398339	11.565788	20.979836	2.9431815	3.4733078	12.364298	0.0	14.282421	4.5258274	12.5492525	13.495681	19.529741	5.9520235	15.000679	4.9629736	16.316391	12.265268	7.522507	11.729237	17.237455	2.3796213	15.3052435	0.28064036	8.007238	0.0	4.0531335	9.471953	8.94654	8.589398	False
G80518	11.375767	1.0411229	0.8920371	5.5708714	5.818147	4.877739	2.5724661	16.976257	3.9908242	11.800019	7.335599	13.078462	6.3474855	12.946699	13.318872	2.8740249	7.2001224	0.0	16.387674	6.671843	13.975368	3.5801992	0.0	3.5104814	3.6612499	5.560782	17.461948	4.532728	15.35599	21.099003	7.3749924	4.1888475	9.274558	1.9861375	8.982695	0.0	10.890455	6.9817038	1.8515323	4.642343	False
G80555	14.910334	2.5855684	4.8990684	5.366108	9.969099	3.0588639	7.912141	1.929881	8.527245	3.1842673	1.4253433	4.400634	9.5571375	13.513193	1.5379112	2.313756	6.5223794	0.0	6.477803	5.3640323	5.7731867	7.6586156	12.562967	0.0	11.02963	2.0048468	9.486902	8.885028	0.050954677	3.3781023	14.345082	2.5948527	10.826755	1.6010627	8.62174	3.1297505	1.7619598	12.123273	5.5280504	6.1125255	False
