	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Inovirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__T5likevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Anaeroglobus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Shigella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus
G78672	7.19482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016669999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.15859	0.0	0.0	0.17060999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.00921	0.0053	0.0	0.0	0.13589	0.45453000000000005	0.0	0.0	0.0
G78670	45.36893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00185	0.0	0.01793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08484	0.0	0.0	0.0	0.0	0.57299	0.0	0.0	0.0
G80345	64.87071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49474	0.0	6.51759	0.0	0.0	0.0	3.0423299999999998	0.0	0.0
G69186	47.85465	0.0	0.01111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5559800000000004	0.0	0.0	0.21655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00662	0.0	0.0	0.0	0.51761	0.0	0.0	0.0
G78905	99.46816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00854	0.20626999999999998	0.0	0.0	0.0	0.07615	0.0	0.0
G78647	93.89506999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3930300000000004	0.018009999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80279	47.25935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014119999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036299999999999995	0.09085	0.0	1.7711599999999998	0.0	0.0	0.0	0.21574000000000002	0.0	0.0
G69224	86.01929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024990000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99839	0.0	4.725709999999999	0.0	0.0	0.0	3.07914	0.0	0.0
G69181	78.66955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042	0.12922999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.01486	0.0	0.05429	0.0	0.0	0.00249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02061	0.59522	0.0	0.0	0.0	5.1225	0.0	0.0
G78636	3.66554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21355	0.0	0.00939	0.0	0.0	0.0	0.0	0.044239999999999995	0.0	0.0	0.0	0.0	0.0	0.01492	0.0	0.0	0.18014000000000002	0.0	0.0	0.0	0.0	0.0	0.31940999999999997
G80462	81.73291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00059	0.01969	0.0	0.0	0.0	0.00907	0.0	0.00424	0.0	0.0	0.0	0.0	0.0	0.0	0.39304	0.0	0.0	0.0	0.0	0.06092	0.0	0.00201	0.0	3.94739	0.0	0.0	0.25394	0.04099	0.0	0.20861999999999997
G80486	0.91824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5667799999999998	0.0	0.0025399999999999997	0.25498000000000004	0.0	0.0	0.0	0.02607	0.0	0.0	0.0	0.0	0.0	0.0	0.029189999999999997	0.0	0.017159999999999998	0.0	0.0	0.0	0.0	0.0	0.18545
G78500	0.12362999999999999	0.0	0.0	0.0	0.00042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16351	0.0	0.0	0.0646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011000000000000001	0.0	0.0	0.0	0.3627	0.0	0.0	0.19610999999999998	0.0	0.0	0.0
G80358	7.83052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25808	0.0	0.07411000000000001	0.0	0.0	0.0	0.0	0.01089	0.0	0.0	0.0	0.0	0.05824	0.059789999999999996	0.15607000000000001	0.0	0.0	0.0	0.0	0.19049000000000002	0.0	0.0	4.61406
G80300	75.75392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36774	0.0	0.0	0.1351	0.0	0.0	0.0	0.0	0.0	0.02232	0.0	0.0	0.0	0.00268	0.0	0.0	0.0014199999999999998	0.0	0.0	0.0	0.0	0.02843	0.0	0.01835	0.0	0.35254	0.0	0.05486	0.022609999999999998	5.212219999999999	0.0	0.0
G80418	7.943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6712199999999999	0.0	0.09487999999999999	0.0	0.0	0.0	0.0	0.13451	0.0	0.0	0.0	0.0	0.08184	0.0	0.0	0.0	0.0177	0.0	0.0	0.3852	0.0	0.0	0.58249
G78742	5.1603699999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03243	0.0	0.0	0.0	0.0	0.0	0.59226	0.0	0.0	0.0	0.0	2.92118	0.0	0.0	0.0	2.45739
G78565	22.20228	0.0	0.0	0.0	0.0	0.0	0.0	0.01169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006529999999999999	0.0	0.00229	0.0	0.0	0.42173999999999995	0.0	0.0	0.0	0.0	0.0	0.5264300000000001	0.0	0.023780000000000003	0.0	0.0	2.47474	0.0	0.0	0.0	2.3750299999999998
G80265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.27606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80287	24.55629	0.0	0.0	0.0	0.0	0.0	0.13230999999999998	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.0	0.04331	0.0	0.0	0.0	0.0	0.00829	0.01107	0.0	0.0	0.04245	0.0	0.0	0.0	0.0	0.01914	0.0	0.04729	0.00186	0.0	0.0	9.60056	0.0213	0.0	0.0	0.007240000000000001
G80334	8.98437	0.0	0.0	0.0	0.0	0.0	0.0	1.7572900000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10627	0.0	0.02575	0.0	0.0	0.15642999999999999	0.0	0.0	0.0	0.0	0.0	0.05486	0.0	0.0	0.0	0.0	6.077000000000001	0.0	0.0	0.0	0.11064
G78790	3.95853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04635	0.0	0.0	0.03603	0.0	0.0	0.0	0.0	0.0	0.99825	0.0	0.0	0.10993	0.0	0.0	0.09719	0.0	0.0	0.0
G78743	2.8833599999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07284	0.0	0.0	0.0	0.0	0.0	2.42613	0.0	0.0	0.0	0.0	0.65533	0.0	0.0	0.0	0.7381300000000001
G80315	14.55525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00079	0.29768	1.93038	0.0	0.0
G78772	12.35928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047830000000000004	0.0	0.0	0.0	3.58112	0.13235999999999998	0.0	0.0
G78770	57.26868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13902	0.0	0.09402	0.0	0.02661	0.0	6.063969999999999	0.0	0.0
G78875	46.8437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01184	1.8380299999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3567	0.0	0.0	0.0	2.7804900000000004	0.0	0.0
G78493	71.36066	0.0	0.0	0.0	0.0	0.0	0.0	0.006220000000000001	0.0	0.0	0.0	0.02259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018100000000000002	0.0	0.0	0.20247	0.0	0.0	0.0	0.0	0.0	0.0	0.00389	0.029339999999999998	0.03655	0.0	0.01226	0.13101	0.00686	0.0	0.05033
G78738	92.25559	0.0	0.0	0.0	0.0	0.0	0.00479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526	0.0	0.0	0.028939999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00253	0.00427	0.0	0.00182	0.06663	1.89225	0.0	0.02147
G78739	41.27052	0.0	0.0	0.0	0.0	0.0	0.48078000000000004	0.0	0.0	0.0	0.0	0.00396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007790000000000001	0.0	0.02485	0.0161	0.0	0.0	0.0	0.0	0.0	0.0	0.00665	0.0	0.0	0.0	0.0	0.18555	0.09473	0.0	0.0
G78749	83.02585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08514	0.0	0.0	0.23443000000000003	0.06298	0.0	0.0
G78748	67.99314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22585999999999998	0.0	0.9902299999999999	0.0	0.0	0.90604	0.37783	0.0	0.0
G80596	0.47128000000000003	97.24136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.0	0.0	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.00041	0.0	0.11646	0.0
G80528	48.79492	0.0	0.006409999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00793	0.0	0.06661	0.49486	0.0	0.0	0.00324	0.0	0.00551	0.0	0.0	0.0	0.0	0.030889999999999997	0.0	0.0467	0.0	0.0	0.08816	0.67992	0.05661	0.0
G80590	0.11822	0.25549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5298599999999998	0.008459999999999999	0.0	0.0	0.0	0.0	0.0	0.01205	0.0
G80602	5.3056	0.5260100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059739999999999994	0.0	0.0	0.0	0.0	0.07096000000000001	0.0	10.381839999999999	0.0
G80275	1.1688	0.0	0.0	0.0	0.0	0.0	0.58244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.05655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68401	0.0	0.0	0.0	0.08719
G80361	1.02934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11381	0.0	0.0	0.0	0.0	0.0	70.52618000000001	0.0	0.0	0.23292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096	0.0	0.0	0.0	0.026739999999999996	0.0	0.0	0.0
G78831	22.96799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16561	0.0	0.0	0.0	0.15680999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.32142	0.0	0.19827999999999998	0.0	0.01792	0.04002	0.2666	0.0	0.0
G78802	57.56123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06655	0.0	0.0	0.20728000000000002	0.0	0.0	0.0	0.0	0.1595	0.0	0.0	0.0	0.1283	0.0	0.0	0.44915	0.0	0.0	0.88003
G78789	43.57606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017699999999999999	0.0	0.0	0.00583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5702
G78640	24.09145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05347999999999999	0.23183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00972	0.02235	0.0	0.01568	0.09294	0.0	0.0	0.19341
G78788	40.20179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07371	0.02658	0.0	0.0008300000000000001	0.0	0.08261	0.0	0.0
G80389	1.22492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9588899999999999	0.0	0.0	0.0	2.0321700000000003
G80430	6.0006699999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17645	0.0	0.0	0.01026	0.0	0.0	0.0	0.0	0.0	0.0	0.61127	0.00492	0.07147	0.0	0.23016	0.09871	0.0	0.0	0.0
G80566	8.653369999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78617	0.07239	0.0	0.0	0.0	0.0	0.0	0.8920399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0213	1.34744	1.42814	0.0	0.0	0.24043	0.0	0.0	0.0	0.0	0.0	0.0	0.29869	0.0	0.0	0.0	0.04021	0.48294	0.0	0.0	0.0
G69183	1.9442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38876	0.0	0.0	0.0	0.0	0.045630000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79392	0.58235	0.0	0.0	0.0
G78577	5.08024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14193	0.0	0.08816	0.0	0.0	0.13018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01055	0.0	0.0	0.5920000000000001	0.34586999999999996	0.0	0.0	0.0
G80488	0.01278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01929	0.06552000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.19593	0.0	1.11676	0.0	0.0	0.0	0.0	0.0	0.0
G80487	0.01676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33132	0.022019999999999998	0.00515	0.0	0.0	0.0	0.0	0.0	0.0
G80536	26.61003	0.0	0.02257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58913	0.0	0.0	0.0	0.0	0.00339	0.0
G80531	42.329609999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0061	0.0	0.01605	0.0	0.0	0.0	0.0	0.0	0.03393	0.0	0.0	0.0	0.1273	0.76645	0.02409	0.0
G80582	1.18835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1101	0.0	0.00355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.99881	0.0	2.60814	0.0	0.0	0.0	0.0	0.0	0.0
G78487	0.6131	0.0	0.0	0.0	0.0	0.0	0.00577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05056	0.0	0.009859999999999999	0.11165	0.0	0.00881	0.0	0.0	0.0	0.0	0.0	0.008159999999999999	0.0	0.0	0.0	0.0	2.26799	0.0	0.0	0.0	0.8454
G78683	2.34558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29252	55.15433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G80501	2.92809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07113	0.0	0.0	0.0	0.0	0.15605	80.93703000000001	0.0	0.0	0.0	0.0	0.01022	0.0	0.0	0.0	0.0	0.64068	0.00358	0.0	0.0	0.0	0.0	0.05312000000000001	0.0	0.0
G78611	0.12585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04927	0.0	55.36675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0498399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79723	0.0047799999999999995
G80427	3.78976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281	0.0	0.0	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01082	0.0	0.0	0.0
G78656	6.290030000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01141	0.0	0.0	0.0	0.0	0.01596	0.0	0.0	0.0	0.0	0.0	0.0	0.015280000000000002	0.00512	0.0	0.0	0.0	0.00436	0.0	0.0	0.0
G80468	37.502320000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04038	0.0	0.02895	0.0	0.0	0.09046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14999	0.0	0.0	0.0	0.13345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G78525	5.21559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11360999999999999	0.0	0.0	0.0	0.0	0.0	0.26493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.15523	0.0	0.0	0.0	0.0	0.06031	0.0	0.03985	0.0
G78524	29.763759999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02367	0.0	0.0	0.01484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01569	0.0	0.0	0.28169	0.055310000000000005	0.01043	0.0
G80444	5.84963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20543000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.02883	0.0	0.0	0.0	0.0	0.0	0.040760000000000005	0.0	0.0
G80274	9.331560000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.008579999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038130000000000004	0.0	0.0	0.0	0.0	0.0324	13.20369	0.00203	0.0	0.69896	0.0	0.0	0.0109	0.0	0.0	0.1346	0.0	0.0	0.033589999999999995	0.0	1.41065	0.00812	0.0	0.0	0.12137
